Symptom,Weight
blurred_and_distorted_vision,7
yellowing_of_eyes,6
visual_disturbances,6
high_fever,6
headache,6
redness_of_eyes,7
itching,6
watery_eyes,6
dryness_of_eyes,6
burning_sensation_in_eyes,6
swelling_around_eyes,6
eye_pain,6
sensitivity_to_light,6
eye_alignment_issues,7
double_vision,6
squinting,6
reduced_vision_in_one_eye,7
lazy_eye,6
blurry_vision_in_one_eye,6
blurred_or_distorted_vision,7
eye_strain,6
headaches,6
difficulty_focusing_on_close_objects,7
blurred_vision_at_normal_reading_distance,6
eye_strain_when_reading,6
difficulty_seeing_in_low_light_conditions,7
poor_vision_at_night,6
impaired_dark_adaptation,6
flashing_lights_or_zigzag_patterns,6
temporary_blindness_in_one_eye,6
progressive_vision_loss,7
night_blindness,6
tunnel_vision,6
redness_and_blurring_of_vision,6
sudden_vision_loss_or_changes,7
eye_pain_that_worsens_with_eye_movement,6
blurred_vision_or_loss_of_color_vision,6
involuntary_spasms_of_eyelid_muscles,7
eye_irritation_and_discomfort,6
increased_stress_or_fatigue,6