Disease,Medication
Cataracts,"['Corticosteroid eye drops', 'Nonsteroidal anti-inflammatory drugs (NSAIDs)', 'Antioxidant supplements', 'Surgery (cataract removal)']"
Glaucoma,"['Eyedrops (prostaglandins, beta-blockers, alpha agonists, carbonic anhydrase inhibitors)', 'Oral medications (carbonic anhydrase inhibitors)', 'Laser therapy (selective laser trabeculoplasty, laser peripheral iridotomy)', 'Surgery (trabeculectomy, drainage implants)']"
Macular degeneration,"['Vascular endothelial growth factor (VEGF) inhibitors', 'Photodynamic therapy', 'Laser surgery', 'Implantable telescope', 'Nutritional supplements (vitamins C, E, zinc, copper, lutein, zeaxanthin)']"
Diabetic retinopathy,"['Intravitreal injections (anti-VEGF drugs, corticosteroids)', 'Laser surgery (photocoagulation, photodynamic therapy)', 'Vitrectomy', 'Medications to control blood sugar, blood pressure, cholesterol']"
Retinal detachment,"['Scleral buckle surgery', 'Vitrectomy', 'Pneumatic retinopexy', 'Cryopexy', 'Laser photocoagulation']"
Conjunctivitis,"['Antibiotic eye drops or ointments', 'Antihistamine eye drops', 'Corticosteroid eye drops (for severe cases)', 'Cold compresses', 'Artificial tears']"
Dry eye syndrome,"['Artificial tears', 'Lubricating eye ointments', 'Prescription eye drops (cyclosporine, lifitegrast)', 'Punctal plugs', 'Warm compresses']"
Blepharitis,"['Eyelid hygiene (warm compresses, lid scrubs)', 'Antibiotic ointments or drops', 'Corticosteroid ointments or drops', 'Oral antibiotics (for severe cases)', 'Artificial tears']"
Keratitis,"['Antibiotic eye drops or ointments', 'Antiviral eye drops or ointments (for viral keratitis)', 'Antifungal eye drops or ointments (for fungal keratitis)', 'Corticosteroid eye drops (for inflammation)', 'Oral antiviral or antifungal medications (for severe cases)']"
Strabismus,"['Eyeglasses or contact lenses', 'Vision therapy', 'Eye muscle surgery', 'Botulinum toxin injections', 'Prism lenses']"
Amblyopia,"['Corrective eyewear (eyeglasses or contact lenses)', 'Patching or covering the stronger eye', 'Vision therapy', 'Atropine eye drops', 'Surgery (for certain cases)']"
Astigmatism,"['Eyeglasses', 'Contact lenses', 'Orthokeratology (corneal reshaping lenses)', 'Refractive surgery (LASIK, PRK)', 'Toric intraocular lenses (for cataract surgery)']"
Presbyopia,"['Reading glasses', 'Bifocal or progressive eyeglasses', 'Monovision contact lenses', 'Refractive surgery (LASIK, PRK)', 'Lens implants (for cataract surgery)']"
Night blindness,"['Treatment of underlying conditions (e.g., vitamin A deficiency)', 'Use of low-vision aids (e.g., magnifying glasses)', 'Management of contributing factors (e.g., glare reduction)']"
Ocular migraines,"['Pain relievers (e.g., acetaminophen, ibuprofen)', 'Migraine-specific medications (e.g., triptans)', 'Anti-nausea medications', 'Rest in a dark, quiet room', 'Avoidance of triggers (e.g., certain foods, stress)']"
Retinitis pigmentosa,"['Vitamin A supplements', 'Omega-3 fatty acids', 'Retinal implants', 'Gene therapy (in experimental stages)', 'Low-vision aids (e.g., magnifiers, electronic devices)']"
Uveitis,"['Corticosteroid eye drops or injections', 'Nonsteroidal anti-inflammatory eye drops', 'Immunosuppressive medications (e.g., methotrexate, cyclosporine)', 'Biologic agents (e.g., adalimumab)', 'Surgery (for complications)']"
Optic neuritis,"['Corticosteroid therapy (oral or intravenous)', 'Pain relievers (for discomfort)', 'Plasma exchange therapy (in severe cases)', 'Disease-modifying therapies for underlying conditions (e.g., multiple sclerosis)']"
Corneal abrasion,"['Antibiotic eye drops or ointments', 'Pain relievers (e.g., acetaminophen, ibuprofen)', 'Bandage contact lenses', 'Topical anesthetics (for pain relief)', 'Oral analgesics (for severe pain)']"
Eyelid twitching,"['Stress reduction techniques (e.g., relaxation exercises)', 'Eye lubricants', 'Topical or oral antihistamines (for allergies)', 'Botulinum toxin injections (in severe cases)', 'Eyelid massage or stretching exercises']"